H, H, H, H, H, H, H, H, H, H
H, H, H, H, H, H, H, H, H, H
S, S, H, S, H, H, H, H, H, H
S, S, S, S, S, H, H, H, H, H
H, H, S, H, S, H, H, H, H, H
S, H, S, S, S, H, D, H, H, H
S, D, H, H, H, H, H, H, H, H
S, S, S, S, D, S, S, D, H, H
D, D, S, H, D, S, S, H, H, H
D, H, S, S, S, H, H, H, S, H
S, H, S, H, S, S, H, H, H, S
H, D, D, H, H, H, H, H, H, S
H, D, H, H, H, D, H, S, H, S
H, S, S, H, S, H, H, H, H, S
S, D, H, D, H, S, H, H, H, H
H, S, S, S, S, S, S, H, S, H
H, H, H, H, H, H, H, H, H, S
H, H, H, H, H, H, H, H, D, H
H, H, H, H, H, H, H, H, H, H
H, D, D, H, D, H, H, H, H, H
H, H, D, H, H, H, H, H, H, H
H, H, H, H, H, H, D, H, H, H
H, H, H, H, H, H, H, H, D, H
H, D, H, H, H, H, H, H, H, H
H, H, H, H, D, H, H, H, H, S
H, H, P, H, S, P, P, P, H, P
P, H, D, P, P, P, D, P, H, P
H, H, H, H, H, H, D, H, H, H
H, S, P, H, H, S, H, H, H, H
D, H, H, D, H, D, H, H, H, H
H, H, D, H, H, H, D, S, H, H
H, H, H, S, H, H, H, H, S, H
P, H, H, H, H, H, D, H, H, H
S, H, S, S, H, H, H, H, H, D
H, H, H, S, H, S, H, H, H, H
S, H, H, S, S, S, H, S, S, S
