['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']
['S', 'S', 'S', 'a', 'a', 'a', 'a', 'a', 'a', 'a']
['S', 'a', 'S', 'a', 'a', 'a', 'H', 'a', 'H', 'a']
['S', 'S', 'S', 'S', 'H', 'H', 'H', 'a', 'H', 'H']
['S', 'H', 'S', 'S', 'S', 'H', 'H', 'H', 'H', 'H']
['S', 'S', 'S', 'H', 'S', 'H', 'H', 'H', 'H', 'H']
['S', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']
['S', 'S', 'S', 'D', 'H', 'S', 'S', 'S', 'H', 'H']
['H', 'S', 'H', 'H', 'S', 'H', 'S', 'S', 'H', 'D']
['H', 'S', 'S', 'S', 'H', 'H', 'S', 'H', 'S', 'H']
['S', 'H', 'H', 'H', 'S', 'D', 'D', 'H', 'H', 'H']
['D', 'H', 'S', 'S', 'S', 'S', 'H', 'H', 'S', 'H']
['H', 'D', 'S', 'H', 'D', 'S', 'H', 'H', 'H', 'D']
['S', 'H', 'H', 'H', 'H', 'H', 'D', 'H', 'S', 'H']
['H', 'D', 'H', 'D', 'H', 'H', 'H', 'H', 'S', 'H']
['S', 'H', 'S', 'S', 'S', 'H', 'H', 'S', 'D', 'H']
['S', 'H', 'H', 'S', 'H', 'S', 'H', 'H', 'S', 'H']
['H', 'a', 'H', 'a', 'a', 'a', 'a', 'a', 'D', 'H']
['a', 'H', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'H']
['a', 'H', 'a', 'H', 'H', 'a', 'a', 'H', 'H', 'H']
['H', 'H', 'a', 'a', 'a', 'a', 'H', 'H', 'a', 'H']
['a', 'a', 'a', 'a', 'H', 'a', 'a', 'H', 'H', 'H']
['H', 'a', 'a', 'H', 'H', 'H', 'a', 'a', 'H', 'a']
['H', 'a', 'a', 'a', 'a', 'a', 'H', 'a', 'a', 'a']
['a', 'a', 'a', 'H', 'a', 'D', 'H', 'a', 'H', 'a']
['H', 'H', 'H', 'P', 'S', 'H', 'H', 'D', 'H', 'a']
['H', 'P', 'H', 'P', 'H', 'H', 'P', 'H', 'P', 'P']
['H', 'D', 'H', 'H', 'P', 'D', 'D', 'H', 'H', 'H']
['H', 'H', 'H', 'H', 'H', 'H', 'H', 'S', 'H', 'H']
['H', 'H', 'D', 'H', 'H', 'H', 'H', 'H', 'H', 'H']
['H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'D', 'H']
['S', 'H', 'D', 'H', 'H', 'H', 'H', 'H', 'H', 'H']
['H', 'H', 'H', 'D', 'H', 'H', 'H', 'H', 'H', 'H']
['H', 'H', 'H', 'S', 'H', 'H', 'H', 'H', 'P', 'H']
['S', 'P', 'H', 'S', 'H', 'D', 'P', 'H', 'H', 'H']
['H', 'S', 'S', 'S', 'H', 'S', 'S', 'H', 'S', 'H']
