H, H, H, H, H, H, H, H, H, H
H, H, H, H, H, H, H, H, H, H
S, S, S, H, H, H, H, H, H, H
H, H, H, H, H, H, H, H, H, H
S, S, S, S, H, H, H, H, H, H
S, S, H, H, H, H, H, H, H, H
H, S, S, S, S, S, H, H, H, H
H, H, S, S, H, H, H, H, H, H
S, S, S, H, S, H, S, S, D, H
H, H, S, S, S, S, S, H, H, S
H, D, S, S, H, H, H, S, H, D
D, S, H, S, H, D, S, D, S, S
D, H, H, H, S, S, S, S, H, S
S, S, S, S, S, S, H, D, D, H
S, H, H, S, H, S, D, S, H, H
S, S, D, S, S, D, S, S, H, S
S, H, S, S, S, S, S, S, S, H
S, S, S, S, S, S, S, S, S, S
H, H, H, H, H, H, H, H, H, H
H, D, H, H, H, D, H, H, H, H
H, H, H, H, H, H, H, D, H, H
H, H, H, H, H, H, H, H, D, H
H, H, H, H, H, H, H, H, H, H
H, H, H, H, H, H, H, H, H, H
H, H, H, H, H, H, H, H, H, H
H, H, H, H, H, H, H, D, D, H
H, H, D, P, H, H, H, H, H, H
P, P, H, H, P, P, H, S, P, H
D, H, S, P, D, H, H, H, H, H
H, H, H, S, H, S, H, H, S, H
H, H, D, S, H, D, S, H, H, H
D, S, H, S, S, P, S, H, D, H
D, S, S, S, S, H, H, H, H, H
H, H, H, H, H, H, H, H, S, S
P, H, D, D, H, S, H, H, H, H
H, H, D, S, S, S, P, S, H, S
S, S, S, S, S, S, S, S, S, D
