['S', 'a', 'a', 'a', 'a', 'a', 'a', 'a,', 'a', 'a']
['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']
['S', 'S', 'S', 'a', 'a', 'a', 'a', 'S', 'a', 'S']
['S', 'S', 'H', 'S', 'a', 'a', 'a', 'a', 'H', 'a']
['S', 'S', 'S', 'S', 'S', 'H', 'H', 'H', 'H', 'H']
['S', 'D', 'D', 'H', 'H', 'S', 'a', 'H', 'H', 'H']
['S', 'S', 'H', 'H', 'H', 'S', 'H', 'H', 'H', 'H']
['H', 'H', 'H', 'H', 'H', 'H', 'H', 'S', 'H', 'H']
['H', 'S', 'S', 'S', 'H', 'S', 'H', 'H', 'S', 'H']
['S', 'H', 'H', 'H', 'S', 'S', 'H', 'S', 'H', 'S']
['S', 'H', 'S', 'H', 'H', 'S', 'S', 'H', 'S', 'H']
['S', 'H', 'H', 'S', 'H', 'S', 'H', 'H', 'H', 'H']
['S', 'S', 'H', 'H', 'H', 'S', 'H', 'H', 'S', 'H']
['D', 'S', 'H', 'S', 'S', 'S', 'D', 'H', 'H', 'H']
['H', 'D', 'H', 'D', 'D', 'H', 'S', 'H', 'S', 'H']
['H', 'H', 'H', 'D', 'S', 'H', 'S', 'S', 'S', 'S']
['S', 'H', 'S', 'S', 'H', 'S', 'D', 'S', 'S', 'H']
['H', 'S', 'S', 'H', 'S', 'S', 'S', 'H', 'H', 'S']
['a', 'H', 'H', 'H', 'H', 'H', 'D', 'H', 'H', 'H']
['H', 'H', 'H', 'H', 'H', 'H', 'a', 'H', 'H', 'H']
['H', 'D', 'a', 'a', 'H', 'a', 'H', 'a', 'H', 'a']
['H', 'a', 'H', 'H', 'a', 'H', 'H', 'a', 'H', 'a']
['a', 'a', 'H', 'H', 'a', 'H', 'H', 'a', 'H', 'a']
['a', 'D', 'H', 'a', 'H', 'H', 'a', 'H', 'H', 'a']
['H', 'a', 'H', 'H', 'a', 'a', 'a', 'a', 'H', 'H']
['a', 'a', 'H', 'D', 'H', 'a', 'H', 'H', 'H', 'H']
['a', 'H', 'H', 'a', 'a', 'a', 'a', 'H', 'H', 'a']
['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']
['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']
['P', 'P', 'P', 'P', 'P', 'H', 'P', 'P', 'P', 'a']
['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']
['P', 'H', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']
['P', 'P', 'P', 'P', 'P', 'P', 'P', 'a', 'P', 'P']
['P', 'P', 'P', 'P', 'P', 'a', 'P', 'P', 'P', 'P']
['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']
['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']
