['S', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']
['S', 'S', 'S', 'a', 'a', 'a', 'a', 'a', 'a', 'a']
['S', 'H', 'S', 'S', 'a', 'a', 'a', 'H', 'H', 'H']
['S', 'S', 'S', 'H', 'H', 'a', 'S', 'a', 'H', 'a']
['H', 'H', 'H', 'H', 'S', 'S', 'a', 'H', 'H', 'H']
['S', 'S', 'S', 'H', 'S', 'S', 'H', 'H', 'H', 'H']
['D', 'H', 'H', 'S', 'H', 'H', 'H', 'H', 'H', 'H']
['S', 'S', 'H', 'S', 'S', 'H', 'S', 'S', 'H', 'S']
['H', 'H', 'S', 'S', 'S', 'H', 'H', 'H', 'H', 'S']
['S', 'H', 'S', 'H', 'H', 'S', 'S', 'S', 'S', 'S']
['S', 'S', 'S', 'H', 'S', 'S', 'S', 'D', 'H', 'H']
['S', 'S', 'S', 'S', 'S', 'D', 'H', 'D', 'S', 'H']
['H', 'H', 'S', 'S', 'S', 'H', 'H', 'H', 'S', 'S']
['H', 'S', 'S', 'D', 'S', 'S', 'S', 'S', 'S', 'S']
['H', 'S', 'H', 'S', 'S', 'H', 'S', 'D', 'S', 'S']
['S', 'S', 'H', 'S', 'S', 'S', 'S', 'H', 'H', 'S']
['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']
['a', 'H', 'H', 'a', 'H', 'a', 'H', 'a', 'H', 'a']
['H', 'H', 'H', 'H', 'H', 'H', 'a', 'a', 'H', 'H']
['H', 'a', 'H', 'a', 'H', 'a', 'H', 'H', 'H', 'a']
['H', 'H', 'a', 'H', 'H', 'H', 'a', 'H', 'H', 'a']
['H', 'a', 'H', 'H', 'a', 'a', 'a', 'a', 'a', 'H']
['a', 'H', 'H', 'a', 'a', 'a', 'a', 'a', 'H', 'a']
['a', 'a', 'a', 'H', 'H', 'a', 'a', 'a', 'a', 'a']
['a', 'a', 'a', 'H', 'H', 'a', 'a', 'a', 'a', 'a']
['P', 'H', 'P', 'P', 'P', 'H', 'H', 'P', 'H', 'a']
['P', 'D', 'H', 'P', 'H', 'H', 'H', 'P', 'H', 'S']
['S', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'P', 'H']
['H', 'H', 'S', 'P', 'H', 'S', 'H', 'H', 'D', 'D']
['H', 'H', 'S', 'H', 'H', 'S', 'S', 'D', 'S', 'H']
['H', 'H', 'H', 'H', 'D', 'H', 'H', 'H', 'H', 'H']
['S', 'H', 'S', 'S', 'H', 'S', 'H', 'H', 'S', 'H']
['S', 'D', 'H', 'H', 'S', 'H', 'S', 'S', 'H', 'H']
['H', 'H', 'H', 'S', 'S', 'S', 'S', 'P', 'H', 'P']
['H', 'S', 'H', 'H', 'S', 'H', 'S', 'S', 'S', 'P']
['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']
