H, H, H, H, H, H, H, H, H, H
H, H, H, H, H, H, H, H, H, H
H, H, H, H, H, H, H, D, D, H
H, H, H, H, H, H, H, H, H, H
D, D, D, D, D, D, H, D, D, D
D, H, D, H, H, H, H, D, D, H
H, D, D, D, D, D, D, D, D, H
H, D, D, D, D, H, H, H, H, H
S, S, S, S, S, H, H, H, H, H
S, S, S, S, S, H, H, H, H, H
S, S, S, S, S, H, H, H, H, H
S, S, S, S, S, H,H, H, H, H
S, S, S, S, S, H, H,H, H,H
S, S, S, S, S, S, S, H, H, H
S, S, S, S, S, S, S, H, H,H
S, S, S, S, S, S, S, S, S, H
S, S, S, S, S, S, S, H, S, S
S, S, S, S, S, S, S, S, S, S
H, D, H,H,H, H,H,H,H, H
H, H, H, S, D, D, H,H, H, H
H,H,H, D, D, H, H,H,H,H
H,H,D,D,D,H, H, H,H, H
H,H,d,D, D,H, H, H,H,H
H,D,D,D,H, H, H,H, H, H
H,D,D,D, H,H,H,H, H,H
S, S, S, H, S, H, H, S, H, S
S, S, S, S, S, S, S, S, S, S
H,H, D,H, D, H,H,H,H, H
H,H, D, H, D,H,H, H,H,H
H,H, H, D, H,H,H,H, H,H
H,H, D, D, H, H, H, H,H,H
H,H, H, D, D, H, H,H,H, H
P, P,P, P, P,H,H, H,H, H
P, D, P, P,P, H,H,H,H,H
P,P, H,P,P, S,P,P,P,P
S,S,S,S,S, S,S,S, S, S
S,S,S,S,S,S,S,S,S,S
