H,H,H,H,H,H,H,H,H,H
H,H,H,H,H,H,H,H,H,H
H,H,H,H,H,H,H,D,D,H
H,H,H,H,H,H,H,H,H,H
D,D,D,D,D,D,H,D,D,D
D,H,D,H,H,H,H,D,D,H
H,D,D,D,D,D,D,D,D,H
H,D,D,D,D,H,H,H,H,H
S,S,S,S,S,H,H,H,H,H
S,S,S,S,S,H,H,H,H,H
S,S,S,S,S,H,H,H,H,H
S,S,S,S,S,H,S,H,H,H
S,S,S,S,S,H,H,S,H,S
S,S,S,S,S,S,S,H,H,H
S,S,S,S,S,S,S,H,H,S
S,S,S,S,S,S,S,S,S,H
S,S,S,S,S,S,S,H,S,S
S,S,S,S,S,S,S,S,S,S
H,D,H,S,S,H,S,S,D,H
H,H,H,S,D,D,H,D,H,H
D,S,S,D,D,H,H,S,D,D
S,D,H,H,S,S,H,H,D,H
S,D,H,H,D,S,H,H,S,D
H,S,S,H,S,H,H,S,H,H
H,H,S,H,H,S,S,S,H,S
S,S,S,H,S,H,H,S,H,S
S,S,S,S,S,S,S,S,S,S
P,P,D,P,D,H,D,D,P,H
D,D,D,H,D,P,P,H,P,P
P,P,H,D,H,P,D,D,H,D
P,D,D,D,H,H,H,H,D,P
H,P,H,D,D,H,H,P,D,H
D,P,D,P,P,D,D,H,P,H
P,D,P,P,D,H,D,S,D,P
S,S,H,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
P,P,P,P,P,P,P,P,P,P
