H, H, H, H, H, H, H, H, H, H
D, H, H, H, H, H, D, H, H, H
H, H, H, D, H, H, D, H, H, H
H, D, H, H, H, H, H, D, H, H
H, H, H, H, H, D, H, D, H, H
H, H, D, H, H, H, H, D, H, H
H, S, H, H, H, H, H, H, H, D
S, H, H, H, H, H, D, H, H, H
D, D, H, H, H, H, H, D, H, H
S, S, D, D, H, D, D, D, H, H
H, H, S, S, H, H, S, H, D, S
S, D, H, H, H, H, D, S, H, S
H, H, S, S, H, H, H, H, H, H
H, H, H, H, S, S, S, H, H, H
H, H, S, H, H, S, H, S, S, H
H, H, H, S, H, H, S, S, S, H
H, S, S, S, S, S, S, S, S, H
S, S, S, S, S, S, S, S, S, S
S, S, S, S, S, S, S, S, S, S
S, S, S, S, S, S, S, S, S, S
S, S, S, S, H, S, H, S, S, S
S, S, H, S, H, H, S, S, S, S
S, S, S, S, S, S, S, S, S, S
H, D, H, D, S, S, S, H, D, S
H, H, S, H, S, S, H, S, D, S
H, H, S, D, S, D, H, H, S, H
H, H, D, S, S, H, H, H, D, H
S, S, S, S, S, S, S, S, S, S
S, D, P, H, H, H, S, S, D, D
S, S, P, H, D, P, S, H, H, H
S, S, S, S, S, P, P, P, P, P
S, S, S, D, P, S, D, D, P, S
S, S, S, S, S, S, S, S, S, P
S, S, S, H, D, D, S, S, D, S
S, S, S, S, S, S, S, S, H, P
S, P, S, S, S, S, S, S, H, S
P, S, P, S, S, S, S, S, S, S
