H, H, H, H, H, H, H, H, H, H
H, D, H, H, H, H, H, H, H, H
S, H, H, H, H, H, H, H, H, H
H, H, D, H, H, H, H, H, H, H
H, D, D, H, D, D, H, H, H, D
H, D, D, H, H, H, H, H, H, D
H, H, H, H, H, H, H, D, H, D
H, H, H, H, H, H, H, H, H, H
H, D, H, H, S, H, H, H, H, H
S, S, D, H, H, H, H, H, H, H
H, H, H, H, H, H, D, H, D, H
H, H, H, H, D, H, S, H, S, H
H, H, S, S, D, S, D, H, H, H
H, H, H, D, H, D, H, H, H, H
H, S, S, S, H, S, S, S, S, H
S, S, H, H, S, S, S, S, H, H
S, S, S, H, S, S, S, S, H, S
S, S, S, S, S, S, S, S, S, S
H, H, H, H, H, H, H, H, H, H
H, H, H, H, D, D, D, H, H, D
H, S, S, S, D, S, S, H, S, H
S, S, H, H, D, D, D, H, H, H
S, H, H, H, H, H, S, S, S, S
H, S, H, D, H, S, S, S, S, H
S, H, S, H, D, H, H, S, H, D
H, S, S, H, S, H, S, H, H, S
H, H, H, H, S, H, H, D, H, S
S, S, S, S, S, S, S, S, S, S
S, P, P, P, D, D, P, P, P, P
P, S, P, P, P, P, P, P, P, P
S, S, S, S, S, P, P, P, P, P
S, S, S, S, S, D, S, P, P, P
S, S, S, S, S, S, D, S, D, S
S, S, S, S, S, S, S, S, S, S
S, S, S, S, S, S, S, S, S, S
S, S, S, S, S, S, S, S, S, S
S, S, S, S, S, S, S, S, S, P
