,population_size,crossover_prob,mutation_prob,fitness_rounds,crossover_method,tournament_size,mean_wins,std_wins,mean_losses,std_losses,mean_net_chips,std_net_chips
0,300,0.5,0.01,10000,tournament,5.0,43796.2,70.70049504777177,48997.0,113.83848206999248,-3034.0,163.70461203032735
1,300,0.5,0.005,10000,tournament,3.0,43875.8,58.59146695552178,48484.4,112.92050300986088,-2545.2,270.30308914254016
2,200,0.5,0.01,10000,rank,,42314.8,114.69856145566953,51706.6,137.55231731962934,-9394.4,277.5158373859049
3,300,0.5,0.01,10000,rank,,42750.6,93.97574155067892,50758.2,144.7278825935072,-7779.2,285.1809250283055
4,200,0.5,0.01,10000,tournament,5.0,43510.2,67.15474666767793,48910.8,116.07824946991576,-3543.6,187.3142813562276
5,400,0.5,0.005,10000,tournament,3.0,43869.6,76.31932913751274,48683.8,121.58848629701745,-2498.2,163.755183124077
6,400,0.5,0.01,10000,rank,,42794.4,120.88109860519965,50608.6,137.10813250861526,-7202.6,194.32817603219559
7,400,0.5,0.01,10000,tournament,3.0,43275.0,54.85617558671038,49332.4,108.3892983647371,-4389.2,163.57188022395536
8,300,0.5,0.005,10000,rank,,43442.6,75.52112287300818,48819.2,106.38496134322745,-3629.6,172.53475012298247
9,400,0.5,0.005,10000,rank,,43481.0,74.26439254447585,49409.6,118.06201760092023,-3811.4,116.76403555889974
10,300,0.5,0.005,10000,tournament,5.0,43949.8,67.5792867674704,48663.0,131.06334346414332,-2149.8,180.51858630069094
11,200,0.5,0.005,10000,tournament,5.0,43950.0,75.96314896053217,48536.6,133.4055471110553,-2387.4,205.71203173368346
12,200,0.5,0.005,10000,rank,,43275.8,82.25180849075599,48961.4,100.08516373569061,-3871.0,180.38292602128396
13,200,0.5,0.005,10000,tournament,3.0,43529.8,81.2585995449097,48634.6,86.1593871844502,-2882.4,145.684041679245
14,200,0.5,0.01,10000,tournament,3.0,43339.2,97.06575091143117,49435.8,105.23573537539423,-4376.6,136.92129125888346
15,300,0.5,0.01,10000,tournament,3.0,43210.8,105.03218554328954,49320.0,137.34482152596797,-4736.4,299.45657448117583
